,RSSI_FG,POS
0,"(-52.0, -63.0, 0, -68.0)","[9, 8]"
1,"(-49.0, -63.0, 0, -68.0)","[9, 8]"
2,"(-56.0, -62.0, -69.0, -52.0)","[9, 8]"
3,"(-56.0, -62.0, -69.0, -61.0)","[9, 8]"
4,"(-54.0, -63.0, 0, 0)","[9, 8]"
5,"(-61.0, 0, 0, -64.0)","[9, 8]"
6,"(0, 0, 0, -52.0)","[9, 8]"
7,"(-52.0, -70.0, -73.0, 0)","[9, 8]"
8,"(-49.0, 0, 0, 0)","[9, 8]"
9,"(-60.0, 0, 0, 0)","[9, 8]"
10,"(-63.0, -63.0, 0, -53.0)","[9, 8]"
11,"(-63.0, -63.0, 0, -58.0)","[9, 8]"
12,"(-56.0, 0, 0, -58.0)","[9, 8]"
13,"(-56.0, 0, 0, -57.0)","[9, 8]"
14,"(-49.0, 0, 0, -58.0)","[9, 8]"
15,"(-49.0, 0, 0, -57.0)","[9, 8]"
16,"(-51.0, -62.0, 0, 0)","[9, 8]"
17,"(-54.0, -72.0, -70.0, -55.0)","[9, 8]"
18,"(-54.0, -72.0, -70.0, -54.0)","[9, 8]"
19,"(-54.0, -61.0, -70.0, -55.0)","[9, 8]"
20,"(-54.0, -61.0, -70.0, -54.0)","[9, 8]"
21,"(-55.0, -72.0, -70.0, -55.0)","[9, 8]"
22,"(-55.0, -72.0, -70.0, -54.0)","[9, 8]"
23,"(-55.0, -61.0, -70.0, -55.0)","[9, 8]"
24,"(-55.0, -61.0, -70.0, -54.0)","[9, 8]"
25,"(-53.0, 0, 0, 0)","[9, 8]"
26,"(-55.0, 0, 0, 0)","[9, 8]"
27,"(0, 0, 0, -68.0)","[9, 8]"
28,"(-53.0, 0, 0, -58.0)","[9, 8]"
29,"(-54.0, 0, 0, -58.0)","[9, 8]"
30,"(0, -63.0, -68.0, -54.0)","[9, 8]"
31,"(0, -63.0, -68.0, -58.0)","[9, 8]"
32,"(0, -63.0, -68.0, -55.0)","[9, 8]"
33,"(0, -72.0, -68.0, -54.0)","[9, 8]"
34,"(0, -72.0, -68.0, -58.0)","[9, 8]"
35,"(0, -72.0, -68.0, -55.0)","[9, 8]"
36,"(-56.0, 0, 0, -57.0)","[9, 8]"
37,"(-53.0, 0, 0, -57.0)","[9, 8]"
38,"(-57.0, 0, 0, -57.0)","[9, 8]"
39,"(-53.0, 0, 0, -58.0)","[9, 8]"
40,"(-53.0, 0, -63.0, -68.0)","[9, 8]"
41,"(-53.0, 0, -63.0, -54.0)","[9, 8]"
42,"(-53.0, 0, -70.0, -68.0)","[9, 8]"
43,"(-53.0, 0, -70.0, -54.0)","[9, 8]"
44,"(-62.0, 0, -63.0, -68.0)","[9, 8]"
45,"(-62.0, 0, -63.0, -54.0)","[9, 8]"
46,"(-62.0, 0, -70.0, -68.0)","[9, 8]"
47,"(-62.0, 0, -70.0, -54.0)","[9, 8]"
48,"(-51.0, 0, -64.0, 0)","[9, 8]"
49,"(-51.0, 0, -63.0, 0)","[9, 8]"
50,"(0, -68.0, 0, 0)","[9, 8]"
51,"(-53.0, -71.0, 0, -62.0)","[9, 8]"
52,"(-55.0, -71.0, 0, -62.0)","[9, 8]"
53,"(-49.0, 0, 0, -60.0)","[9, 8]"
54,"(-49.0, 0, 0, -62.0)","[9, 8]"
55,"(-61.0, 0, 0, -60.0)","[9, 8]"
56,"(-61.0, 0, 0, -62.0)","[9, 8]"
57,"(-54.0, 0, 0, 0)","[9, 8]"
58,"(-60.0, 0, 0, 0)","[9, 8]"
59,"(0, 0, 0, 0)","[9, 8]"
60,"(-50.0, 0, 0, -65.0)","[9, 8]"
61,"(-49.0, -63.0, -66.0, -62.0)","[9, 8]"
62,"(-49.0, -63.0, -66.0, -65.0)","[9, 8]"
63,"(-49.0, -63.0, -69.0, -62.0)","[9, 8]"
64,"(-49.0, -63.0, -69.0, -65.0)","[9, 8]"
65,"(-60.0, -63.0, 0, -54.0)","[9, 8]"
66,"(-70.0, -63.0, 0, -54.0)","[9, 8]"
67,"(-49.0, -63.0, 0, -54.0)","[9, 8]"
68,"(-49.0, -65.0, 0, -53.0)","[9, 8]"
69,"(-49.0, -64.0, 0, -53.0)","[9, 8]"
70,"(-57.0, -64.0, 0, -61.0)","[9, 8]"
71,"(0, 0, 0, -62.0)","[9, 8]"
72,"(-50.0, -61.0, -69.0, 0)","[9, 8]"
73,"(-51.0, -62.0, 0, 0)","[9, 8]"
74,"(-51.0, -63.0, 0, 0)","[9, 8]"
75,"(-50.0, -63.0, -69.0, -53.0)","[9, 8]"
76,"(-50.0, -63.0, -65.0, -53.0)","[9, 8]"
77,"(-50.0, -71.0, -69.0, -53.0)","[9, 8]"
78,"(-50.0, -71.0, -65.0, -53.0)","[9, 8]"
79,"(-50.0, 0, -68.0, -61.0)","[9, 8]"
80,"(-50.0, 0, -68.0, -53.0)","[9, 8]"
81,"(-50.0, 0, -68.0, -60.0)","[9, 8]"
82,"(-50.0, 0, -69.0, -61.0)","[9, 8]"
83,"(-50.0, 0, -69.0, -53.0)","[9, 8]"
84,"(-50.0, 0, -69.0, -60.0)","[9, 8]"
85,"(-57.0, 0, -68.0, -61.0)","[9, 8]"
86,"(-57.0, 0, -68.0, -53.0)","[9, 8]"
87,"(-57.0, 0, -68.0, -60.0)","[9, 8]"
88,"(-57.0, 0, -69.0, -61.0)","[9, 8]"
89,"(-57.0, 0, -69.0, -53.0)","[9, 8]"
90,"(-57.0, 0, -69.0, -60.0)","[9, 8]"
91,"(-50.0, 0, -65.0, -52.0)","[9, 8]"
92,"(0, -64.0, 0, 0)","[9, 8]"
93,"(-50.0, -70.0, -64.0, -62.0)","[9, 8]"
94,"(-50.0, -63.0, -64.0, -62.0)","[9, 8]"
95,"(-66.0, -70.0, -64.0, -62.0)","[9, 8]"
96,"(-66.0, -63.0, -64.0, -62.0)","[9, 8]"
97,"(-66.0, 0, 0, -62.0)","[9, 8]"
98,"(-66.0, 0, 0, -53.0)","[9, 8]"
99,"(0, 0, 0, -53.0)","[9, 8]"
100,"(-59.0, -65.0, -66.0, 0)","[9, 8]"
101,"(-50.0, 0, 0, 0)","[9, 8]"
102,"(0, 0, -68.0, 0)","[9, 8]"
103,"(0, 0, -65.0, 0)","[9, 8]"
104,"(0, -63.0, 0, -53.0)","[9, 8]"
105,"(0, 0, 0, -62.0)","[9, 8]"
106,"(-51.0, 0, -66.0, 0)","[9, 8]"
107,"(-60.0, -71.0, 0, -63.0)","[9, 8]"
108,"(-60.0, -62.0, 0, -63.0)","[9, 8]"
109,"(-51.0, -71.0, 0, -63.0)","[9, 8]"
110,"(-51.0, -62.0, 0, -63.0)","[9, 8]"
111,"(0, 0, 0, -65.0)","[9, 8]"
112,"(0, 0, 0, -53.0)","[9, 8]"
113,"(-49.0, 0, -73.0, -55.0)","[9, 8]"
114,"(-49.0, 0, -74.0, -55.0)","[9, 8]"
115,"(-62.0, 0, -73.0, -55.0)","[9, 8]"
116,"(-62.0, 0, -74.0, -55.0)","[9, 8]"
117,"(-50.0, 0, 0, -62.0)","[9, 8]"
118,"(-50.0, 0, 0, -54.0)","[9, 8]"
119,"(-49.0, 0, 0, -62.0)","[9, 8]"
120,"(-49.0, 0, 0, -54.0)","[9, 8]"
121,"(-62.0, -62.0, 0, -54.0)","[9, 8]"
122,"(-62.0, 0, 0, 0)","[9, 8]"
123,"(-48.0, 0, 0, 0)","[9, 8]"
124,"(-49.0, -62.0, 0, 0)","[9, 8]"
125,"(-60.0, 0, 0, -50.0)","[9, 8]"
126,"(-61.0, -50.0, 0, -50.0)","[9, 8]"
127,"(-61.0, -50.0, 0, -49.0)","[9, 8]"
128,"(0, 0, 0, -53.0)","[9, 8]"
129,"(0, 0, 0, -49.0)","[9, 8]"
130,"(-60.0, -54.0, -57.0, -48.0)","[9, 8]"
131,"(-60.0, -54.0, -57.0, -52.0)","[9, 8]"
132,"(-60.0, -54.0, -57.0, -49.0)","[9, 8]"
133,"(-60.0, -62.0, -57.0, -48.0)","[9, 8]"
134,"(-60.0, -62.0, -57.0, -52.0)","[9, 8]"
135,"(-60.0, -62.0, -57.0, -49.0)","[9, 8]"
136,"(-60.0, -53.0, -57.0, -48.0)","[9, 8]"
137,"(-60.0, -53.0, -57.0, -52.0)","[9, 8]"
138,"(-60.0, -53.0, -57.0, -49.0)","[9, 8]"
139,"(-61.0, -54.0, -57.0, -48.0)","[9, 8]"
140,"(-61.0, -54.0, -57.0, -52.0)","[9, 8]"
141,"(-61.0, -54.0, -57.0, -49.0)","[9, 8]"
142,"(-61.0, -62.0, -57.0, -48.0)","[9, 8]"
143,"(-61.0, -62.0, -57.0, -52.0)","[9, 8]"
144,"(-61.0, -62.0, -57.0, -49.0)","[9, 8]"
145,"(-61.0, -53.0, -57.0, -48.0)","[9, 8]"
146,"(-61.0, -53.0, -57.0, -52.0)","[9, 8]"
147,"(-61.0, -53.0, -57.0, -49.0)","[9, 8]"
148,"(-60.0, -53.0, 0, -51.0)","[9, 8]"
149,"(-60.0, -53.0, 0, -52.0)","[9, 8]"
150,"(-61.0, -53.0, 0, -52.0)","[9, 8]"
151,"(0, -50.0, -57.0, -51.0)","[9, 8]"
152,"(0, -50.0, -57.0, -52.0)","[9, 8]"
153,"(0, -50.0, -63.0, -51.0)","[9, 8]"
154,"(0, -50.0, -63.0, -52.0)","[9, 8]"
155,"(-60.0, -54.0, -58.0, 0)","[9, 8]"
156,"(-60.0, -54.0, -64.0, 0)","[9, 8]"
157,"(-60.0, -54.0, -57.0, 0)","[9, 8]"
158,"(0, -54.0, -57.0, -49.0)","[9, 8]"
159,"(0, -51.0, -57.0, -49.0)","[9, 8]"
160,"(0, -50.0, -57.0, -49.0)","[9, 8]"
161,"(-61.0, -53.0, 0, -49.0)","[9, 8]"
162,"(-60.0, 0, 0, -50.0)","[9, 8]"
163,"(-60.0, 0, 0, -53.0)","[9, 8]"
164,"(-60.0, 0, 0, -49.0)","[9, 8]"
165,"(-60.0, 0, 0, -51.0)","[9, 8]"
166,"(0, -64.0, 0, -51.0)","[9, 8]"
167,"(-64.0, -50.0, -65.0, -49.0)","[9, 8]"
168,"(-64.0, -50.0, -58.0, -49.0)","[9, 8]"
169,"(-64.0, -50.0, -59.0, -49.0)","[9, 8]"
170,"(-61.0, -50.0, -65.0, -49.0)","[9, 8]"
171,"(-61.0, -50.0, -58.0, -49.0)","[9, 8]"
172,"(-61.0, -50.0, -59.0, -49.0)","[9, 8]"
173,"(-60.0, -50.0, -65.0, -49.0)","[9, 8]"
174,"(-60.0, -50.0, -58.0, -49.0)","[9, 8]"
175,"(-60.0, -50.0, -59.0, -49.0)","[9, 8]"
176,"(-63.0, 0, 0, 0)","[9, 8]"
177,"(-61.0, -54.0, 0, -47.0)","[9, 8]"
178,"(-61.0, -55.0, 0, -47.0)","[9, 8]"
179,"(0, -63.0, -64.0, -54.0)","[9, 8]"
180,"(0, -63.0, -64.0, -47.0)","[9, 8]"
181,"(0, -49.0, 0, 0)","[9, 8]"
182,"(-58.0, 0, -55.0, 0)","[9, 8]"
183,"(0, -50.0, -56.0, 0)","[9, 8]"
184,"(0, 0, -66.0, -47.0)","[9, 8]"
185,"(0, 0, -61.0, -47.0)","[9, 8]"
186,"(0, -50.0, -56.0, -47.0)","[9, 8]"
187,"(0, -54.0, -56.0, -47.0)","[9, 8]"
188,"(0, 0, 0, -51.0)","[9, 8]"
189,"(0, -51.0, -68.0, -48.0)","[9, 8]"
190,"(-61.0, -54.0, -66.0, -46.0)","[9, 8]"
191,"(-61.0, -54.0, -63.0, -46.0)","[9, 8]"
192,"(-61.0, -50.0, -66.0, -46.0)","[9, 8]"
193,"(-61.0, -50.0, -63.0, -46.0)","[9, 8]"
194,"(-61.0, -55.0, -66.0, -46.0)","[9, 8]"
195,"(-61.0, -55.0, -63.0, -46.0)","[9, 8]"
196,"(-62.0, -54.0, -66.0, -46.0)","[9, 8]"
197,"(-62.0, -54.0, -63.0, -46.0)","[9, 8]"
198,"(-62.0, -50.0, -66.0, -46.0)","[9, 8]"
199,"(-62.0, -50.0, -63.0, -46.0)","[9, 8]"
200,"(-62.0, -55.0, -66.0, -46.0)","[9, 8]"
201,"(-62.0, -55.0, -63.0, -46.0)","[9, 8]"
202,"(-63.0, 0, -68.0, -48.0)","[9, 8]"
203,"(-63.0, 0, -68.0, -46.0)","[9, 8]"
204,"(-63.0, 0, -68.0, -47.0)","[9, 8]"
205,"(-60.0, 0, -68.0, -48.0)","[9, 8]"
206,"(-60.0, 0, -68.0, -46.0)","[9, 8]"
207,"(-60.0, 0, -68.0, -47.0)","[9, 8]"
208,"(0, -52.0, -56.0, -47.0)","[9, 8]"
209,"(0, 0, -65.0, -46.0)","[9, 8]"
210,"(-61.0, -51.0, -62.0, -47.0)","[9, 8]"
211,"(-61.0, -51.0, -55.0, -46.0)","[9, 8]"
212,"(-61.0, -51.0, -56.0, -46.0)","[9, 8]"
213,"(-73.0, -51.0, -55.0, -46.0)","[9, 8]"
214,"(-73.0, -51.0, -56.0, -46.0)","[9, 8]"
215,"(0, -49.0, -61.0, 0)","[9, 8]"
216,"(0, 0, 0, -45.0)","[9, 8]"
217,"(0, 0, -62.0, 0)","[9, 8]"
218,"(-63.0, -54.0, 0, -47.0)","[9, 8]"
219,"(-63.0, -62.0, -60.0, -47.0)","[9, 8]"
220,"(-63.0, -62.0, -60.0, -46.0)","[9, 8]"
221,"(-63.0, -62.0, -57.0, -47.0)","[9, 8]"
222,"(-63.0, -62.0, -57.0, -46.0)","[9, 8]"
223,"(0, 0, 0, -47.0)","[9, 8]"
224,"(0, 0, 0, -48.0)","[9, 8]"
225,"(0, 0, 0, -47.0)","[9, 8]"
226,"(0, -55.0, -56.0, -47.0)","[9, 8]"
227,"(0, -55.0, -56.0, -46.0)","[9, 8]"
228,"(0, -55.0, -56.0, -48.0)","[9, 8]"
229,"(0, -51.0, -56.0, -47.0)","[9, 8]"
230,"(0, -51.0, -56.0, -46.0)","[9, 8]"
231,"(0, -51.0, -56.0, -48.0)","[9, 8]"
232,"(0, -54.0, -56.0, 0)","[9, 8]"
233,"(0, -54.0, -70.0, 0)","[9, 8]"
234,"(0, 0, 0, -45.0)","[9, 8]"
235,"(0, 0, 0, -49.0)","[9, 8]"
236,"(-60.0, 0, -63.0, -47.0)","[9, 8]"
237,"(-60.0, 0, -56.0, -47.0)","[9, 8]"
238,"(-71.0, 0, -63.0, -47.0)","[9, 8]"
239,"(-71.0, 0, -56.0, -47.0)","[9, 8]"
240,"(-59.0, 0, -56.0, 0)","[9, 8]"
241,"(-71.0, 0, -56.0, 0)","[9, 8]"
242,"(-70.0, -50.0, -67.0, -50.0)","[9, 8]"
243,"(-60.0, -50.0, -67.0, -50.0)","[9, 8]"
244,"(0, -50.0, 0, 0)","[9, 8]"
245,"(-60.0, 0, -54.0, -49.0)","[9, 8]"
246,"(-61.0, 0, 0, 0)","[9, 8]"
247,"(0, -50.0, 0, -43.0)","[9, 8]"
248,"(0, -50.0, 0, -48.0)","[9, 8]"
249,"(0, -54.0, 0, -43.0)","[9, 8]"
250,"(0, -54.0, 0, -48.0)","[9, 8]"
251,"(0, -54.0, -56.0, -48.0)","[9, 8]"
252,"(0, -64.0, -56.0, -48.0)","[9, 8]"
253,"(0, -50.0, -56.0, -48.0)","[9, 8]"
254,"(-58.0, 0, 0, 0)","[9, 8]"
255,"(-59.0, -63.0, 0, -49.0)","[9, 8]"
256,"(-59.0, -63.0, 0, -47.0)","[9, 8]"
257,"(0, -54.0, 0, -49.0)","[9, 8]"
258,"(0, -54.0, 0, -47.0)","[9, 8]"
259,"(0, -64.0, 0, -47.0)","[9, 8]"
260,"(-61.0, 0, -56.0, 0)","[9, 8]"
261,"(0, -54.0, -56.0, -48.0)","[9, 8]"
262,"(0, -50.0, 0, -48.0)","[9, 8]"
263,"(0, -50.0, 0, -47.0)","[9, 8]"
264,"(0, -51.0, -56.0, 0)","[9, 8]"
265,"(0, -50.0, -56.0, 0)","[9, 8]"
266,"(0, 0, 0, -49.0)","[9, 8]"
267,"(0, -51.0, 0, -47.0)","[9, 8]"
268,"(0, -50.0, 0, -44.0)","[9, 8]"
269,"(0, -54.0, 0, -44.0)","[9, 8]"
270,"(0, 0, -62.0, -49.0)","[9, 8]"
271,"(0, 0, -67.0, -49.0)","[9, 8]"
272,"(-65.0, 0, -62.0, -51.0)","[9, 8]"
273,"(-65.0, 0, -62.0, -50.0)","[9, 8]"
274,"(0, 0, 0, -44.0)","[9, 8]"
275,"(0, -62.0, -72.0, -51.0)","[9, 8]"
276,"(-64.0, -63.0, -62.0, -51.0)","[9, 8]"
277,"(-64.0, -63.0, -62.0, -50.0)","[9, 8]"
278,"(0, -66.0, 0, -51.0)","[9, 8]"
279,"(0, -65.0, 0, -50.0)","[9, 8]"
280,"(0, -65.0, 0, -49.0)","[9, 8]"
281,"(0, -63.0, 0, 0)","[9, 8]"
282,"(0, -64.0, 0, 0)","[9, 8]"
283,"(0, -62.0, 0, -50.0)","[9, 8]"
284,"(0, -62.0, 0, -48.0)","[9, 8]"
285,"(0, -62.0, 0, -52.0)","[9, 8]"
286,"(0, -64.0, 0, -50.0)","[9, 8]"
287,"(0, -63.0, -70.0, -49.0)","[9, 8]"
288,"(0, -63.0, -63.0, -49.0)","[9, 8]"
289,"(0, -64.0, -70.0, -49.0)","[9, 8]"
290,"(0, -64.0, -63.0, -49.0)","[9, 8]"
291,"(-66.0, -64.0, -62.0, -48.0)","[9, 8]"
292,"(-66.0, -64.0, -62.0, -53.0)","[9, 8]"
293,"(-66.0, -64.0, -62.0, -49.0)","[9, 8]"
294,"(-66.0, -64.0, -63.0, -48.0)","[9, 8]"
295,"(-66.0, -64.0, -63.0, -53.0)","[9, 8]"
296,"(-66.0, -64.0, -63.0, -49.0)","[9, 8]"
297,"(-66.0, -64.0, -68.0, -48.0)","[9, 8]"
298,"(-66.0, -64.0, -68.0, -53.0)","[9, 8]"
299,"(-66.0, -64.0, -68.0, -49.0)","[9, 8]"
300,"(-70.0, -62.0, 0, 0)","[9, 8]"
301,"(-66.0, 0, -66.0, -50.0)","[9, 8]"
302,"(-66.0, 0, -66.0, -49.0)","[9, 8]"
303,"(-66.0, 0, -66.0, -52.0)","[9, 8]"
304,"(-66.0, 0, -66.0, -51.0)","[9, 8]"
305,"(0, 0, 0, -50.0)","[9, 8]"
306,"(0, 0, 0, -49.0)","[9, 8]"
307,"(0, 0, 0, -47.0)","[9, 8]"
308,"(0, 0, -68.0, -50.0)","[9, 8]"
309,"(0, 0, -68.0, -47.0)","[9, 8]"
310,"(0, -66.0, -63.0, -48.0)","[9, 8]"
311,"(0, -66.0, -63.0, -49.0)","[9, 8]"
312,"(0, -66.0, -63.0, -50.0)","[9, 8]"
313,"(0, -63.0, -63.0, -48.0)","[9, 8]"
314,"(0, -63.0, -63.0, -49.0)","[9, 8]"
315,"(0, -63.0, -63.0, -50.0)","[9, 8]"
316,"(-63.0, -65.0, 0, -50.0)","[9, 8]"
317,"(-63.0, -65.0, 0, -49.0)","[9, 8]"
318,"(0, 0, 0, -49.0)","[9, 8]"
319,"(0, -66.0, -66.0, -49.0)","[9, 8]"
320,"(0, -62.0, -66.0, -49.0)","[9, 8]"
321,"(0, -62.0, -63.0, -49.0)","[9, 8]"
322,"(0, 0, 0, -50.0)","[9, 8]"
323,"(0, 0, 0, -49.0)","[9, 8]"
324,"(0, 0, 0, -51.0)","[9, 8]"
325,"(0, 0, 0, -49.0)","[9, 8]"
326,"(0, 0, 0, -50.0)","[9, 8]"
327,"(0, -62.0, -68.0, -49.0)","[9, 8]"
328,"(0, -61.0, -65.0, -50.0)","[9, 8]"
329,"(-67.0, -62.0, -64.0, -50.0)","[9, 8]"
330,"(-67.0, -62.0, -64.0, -49.0)","[9, 8]"
331,"(-67.0, -62.0, -64.0, -51.0)","[9, 8]"
332,"(0, -63.0, 0, -50.0)","[9, 8]"
333,"(0, -62.0, 0, -50.0)","[9, 8]"
334,"(0, -62.0, 0, -49.0)","[9, 8]"
335,"(0, -62.0, 0, -48.0)","[9, 8]"
336,"(0, -65.0, 0, 0)","[9, 8]"
337,"(0, -62.0, -63.0, 0)","[9, 8]"
338,"(0, -63.0, -63.0, 0)","[9, 8]"
339,"(-62.0, -63.0, 0, 0)","[9, 8]"
340,"(0, -62.0, -63.0, -50.0)","[9, 8]"
341,"(0, -62.0, -63.0, -49.0)","[9, 8]"
342,"(0, -63.0, -63.0, -50.0)","[9, 8]"
343,"(0, -63.0, -63.0, -49.0)","[9, 8]"
344,"(-67.0, -65.0, -64.0, 0)","[9, 8]"
345,"(0, -64.0, 0, -49.0)","[9, 8]"
346,"(0, -64.0, 0, -50.0)","[9, 8]"
347,"(-64.0, 0, -62.0, -49.0)","[9, 8]"
348,"(0, 0, -66.0, 0)","[9, 8]"
349,"(-67.0, -63.0, 0, -49.0)","[9, 8]"
350,"(-67.0, -63.0, 0, -47.0)","[9, 8]"
351,"(0, 0, 0, -48.0)","[9, 8]"
352,"(0, 0, 0, -50.0)","[9, 8]"
353,"(-63.0, 0, -64.0, -49.0)","[9, 8]"
354,"(0, -64.0, -64.0, -49.0)","[9, 8]"
355,"(0, -64.0, -64.0, -51.0)","[9, 8]"
356,"(0, -64.0, -64.0, -48.0)","[9, 8]"
357,"(0, -64.0, -63.0, -49.0)","[9, 8]"
358,"(0, -64.0, -63.0, -51.0)","[9, 8]"
359,"(0, -64.0, -63.0, -48.0)","[9, 8]"
360,"(0, 0, -62.0, -49.0)","[9, 8]"
361,"(0, 0, -62.0, -52.0)","[9, 8]"
362,"(0, 0, 0, -48.0)","[9, 8]"
363,"(-63.0, 0, -63.0, -49.0)","[9, 8]"
364,"(-63.0, 0, -63.0, -48.0)","[9, 8]"
365,"(-64.0, -65.0, -64.0, -50.0)","[9, 8]"
366,"(-64.0, -62.0, -64.0, -50.0)","[9, 8]"
367,"(0, 0, -63.0, -49.0)","[9, 8]"
368,"(0, 0, -62.0, -49.0)","[9, 8]"
369,"(0, 0, -65.0, -49.0)","[9, 8]"
370,"(0, 0, -64.0, 0)","[9, 8]"
371,"(0, 0, -62.0, -51.0)","[9, 8]"
372,"(0, -61.0, -63.0, -52.0)","[9, 8]"
373,"(0, -61.0, -63.0, -49.0)","[9, 8]"
374,"(0, -65.0, -63.0, -52.0)","[9, 8]"
375,"(0, -65.0, -63.0, -49.0)","[9, 8]"
376,"(0, -60.0, 0, 0)","[9, 8]"
377,"(0, 0, 0, -48.0)","[9, 8]"
378,"(-70.0, 0, 0, -48.0)","[9, 8]"
379,"(-70.0, 0, 0, -52.0)","[9, 8]"
380,"(0, -60.0, -65.0, -52.0)","[9, 8]"
381,"(0, -60.0, -65.0, -48.0)","[9, 8]"
382,"(0, -60.0, -65.0, -49.0)","[9, 8]"
383,"(0, -60.0, -65.0, -47.0)","[9, 8]"
384,"(0, 0, 0, -44.0)","[9, 8]"
385,"(0, -62.0, 0, -49.0)","[9, 8]"
386,"(0, -62.0, 0, -47.0)","[9, 8]"
387,"(0, -60.0, 0, -49.0)","[9, 8]"
388,"(0, -60.0, 0, -47.0)","[9, 8]"
389,"(0, 0, -62.0, -49.0)","[9, 8]"
390,"(-68.0, -63.0, 0, -48.0)","[9, 8]"
391,"(-68.0, -63.0, 0, -44.0)","[9, 8]"
392,"(-68.0, -63.0, 0, -49.0)","[9, 8]"
