,RSSI_FG,POS
0,[-66.88888889 -42.47787611 -62.7173913  -65.64150943],[0 0]
1,[-57.20481928 -60.06153846 -55.09345794 -65.05555556],[ 0 10]
2,[-59.64473684 -63.81967213 -56.47126437 -64.96296296],[ 0 12]
3,[-57.31034483 -74.125      -45.6796875  -62.86666667],[ 0 14]
4,[-66.75757576 -67.65306122 -46.1192053  -67.        ],[ 0 15]
5,[-61.70491803 -42.89189189 -66.15789474 -70.03846154],[0 2]
6,[-59.93548387 -52.64130435 -62.80263158 -66.95238095],[0 4]
7,[-61.25287356 -51.58333333 -65.77108434 -67.59090909],[0 6]
8,[-63.64179104 -53.82524272 -60.2375     -66.2244898 ],[0 8]
9,[-66.79411765 -50.61111111 -61.77941176 -68.28846154],[1 0]
10,[-57.90410959 -57.71590909 -57.28089888 -63.15789474],[ 1 10]
11,[-61.01694915 -55.25882353 -50.75229358 -66.95652174],[ 1 12]
12,[-62.82978723 -57.54929577 -47.06993007 -61.26315789],[ 1 14]
13,[-64.3        -55.27358491 -46.97350993 -65.1025641 ],[ 1 15]
14,[-64.25423729 -51.02884615 -60.72941176 -63.86792453],[1 2]
15,[-59.77358491 -51.50961538 -58.8        -64.59259259],[1 4]
16,[-59.2173913  -52.38297872 -63.8115942  -63.12820513],[1 6]
17,[-56.2278481  -57.47674419 -57.51648352 -64.30434783],[1 8]
18,[-54.5        -64.72727273 -67.42307692 -58.        ],[13  0]
19,[-61.68292683 -52.85507246 -59.93333333 -48.39759036],[13 10]
20,[-65.42105263 -63.29090909 -64.43478261 -49.35652174],[13 12]
21,[-68.92592593 -68.08333333 -59.53731343 -48.66666667],[13 14]
22,[-53.88235294 -57.96226415 -69.28571429 -58.        ],[13  4]
23,[-55.49180328 -60.59375    -60.         -55.67241379],[13  6]
24,[-61.09302326 -62.31034483 -62.23880597 -50.10309278],[13  8]
25,[-66.71052632 -54.94392523 -57.71052632 -62.578125  ],[3 0]
26,[-66.68965517 -57.5862069  -53.03797468 -63.5       ],[ 3 10]
27,[-62.19672131 -57.51282051 -45.8362069  -63.98214286],[ 3 12]
28,[-67.86363636 -57.92       -47.22556391 -62.17567568],[ 3 14]
29,[-66.32       -55.16814159 -44.87804878 -66.36363636],[ 3 15]
30,[-60.33333333 -53.33663366 -57.65753425 -64.28      ],[3 2]
31,[-56.57142857 -51.16981132 -58.63855422 -66.39473684],[3 4]
32,[-56.44444444 -56.32926829 -62.19178082 -66.7826087 ],[3 6]
33,[-56.43373494 -55.69767442 -55.59139785 -66.83333333],[3 8]
34,[-65.06060606 -56.43939394 -56.90769231 -65.025     ],[5 0]
35,[-63.96296296 -52.84269663 -51.28409091 -61.38636364],[ 5 10]
36,[-65.         -58.97826087 -52.484375   -71.38461538],[ 5 12]
37,[-62.2173913  -58.72727273 -56.05357143 -63.09302326],[ 5 14]
38,[-67.58823529 -57.30612245 -45.8        -62.48571429],[ 5 15]
39,[-62.9        -54.25333333 -54.02173913 -64.61363636],[5 2]
40,[-64.86666667 -58.61702128 -52.01515152 -70.09090909],[5 4]
41,[-63.675      -56.77333333 -55.42666667 -62.42857143],[5 6]
42,[-61.61111111 -53.11267606 -54.70149254 -59.69230769],[5 8]
43,[-61.93333333 -59.203125   -59.10714286 -67.375     ],[7 0]
44,[-61.06451613 -58.87272727 -55.58208955 -55.91489362],[ 7 10]
45,[-62.93103448 -53.8255814  -52.5974026  -65.48275862],[ 7 12]
46,[-66.32       -58.76271186 -58.5        -61.34042553],[ 7 14]
47,[-55.50793651 -54.95081967 -59.52173913 -58.60377358],[7 2]
48,[-52.73809524 -59.07142857 -63.24137931 -62.875     ],[7 4]
49,[-60.94285714 -56.27118644 -59.83333333 -65.5       ],[7 6]
50,[-60.73913043 -60.20588235 -53.6375     -57.56451613],[7 8]
51,[-56.60655738 -58.71428571 -65.         -63.82758621],[9 0]
52,[-61.15384615 -64.         -62.40625    -53.01923077],[ 9 10]
53,[-60.         -61.97297297 -58.7027027  -59.41666667],[ 9 12]
54,[-63.64285714 -69.72222222 -64.16666667 -58.725     ],[ 9 14]
55,[-52.48837209 -55.77777778 -67.68       -64.48      ],[9 2]
56,[-52.25714286 -59.6744186  -62.88888889 -58.26666667],[9 4]
57,[-55.68888889 -62.21875    -64.36842105 -60.6       ],[9 6]
58,[-62.88888889 -58.31914894 -62.33333333 -52.92      ],[9 8]
