µãÃû,±àÂë,N,E,Z
base1,,3381236.592,409672.584,466.862
bt1,,3381226.805,409665.806,470.135
bt2,,3381226.700,409673.068,470.177
w1,,3381227.555,409670.576,470.332
bt4,,3381234.356,409665.896,470.038
bt6,,3381241.712,409665.952,470.038
w11,,3381241.882,409670.740,470.062
bt8,,3381242.472,409680.952,470.054
w12,,3381243.192,409681.459,469.965
bt7,,3381242.791,409673.126,469.977
bt5,,3381234.847,409681.550,470.147
w7,,3381235.070,409681.150,470.168
t12,,3381235.501,409674.040,468.480
t13,,3381234.345,409674.048,468.511
t1,,3381227.562,409668.461,466.849
t2,,3381236.612,409668.537,466.863
t7,,3381245.677,409668.745,466.843
t10,,3381252.120,409666.113,466.869
t5,,3381236.289,409689.610,466.854
w8,,3381235.031,409690.086,470.183
1,station,3381172.307,409667.522,441.328
b2,,3381224.721,409677.489,468.510
b3,,3381224.758,409671.265,468.632
b4,,3381224.796,409667.613,468.544
2,station,3381191.244,409677.691,441.480
t5,station,3381236.289,409689.610,466.854
t5,station,3381236.289,409689.610,466.854
w2,,3381226.527,409681.931,470.152
bt3,,3381227.017,409679.566,470.226
w3,,3381226.451,409689.632,470.145
t4,,3381227.316,409689.223,466.843
w13,,3381243.136,409690.006,469.947
t8,,3381245.443,409690.132,466.865
w15,,3381240.143,409712.235,469.889
w9,,3381235.274,409702.180,470.110
w10,,3381234.828,409711.410,470.119
t6,,3381234.945,409714.588,466.869
t6,station,3381234.945,409714.588,466.869
w14,,3381243.570,409702.695,470.041
w4,,3381225.863,409702.830,470.158
w5,,3381225.993,409714.279,469.937
t3,,3381225.975,409714.155,466.870
t9,,3381244.336,409714.976,466.876
t11,,3381259.653,409717.137,466.872
t7,station,3381245.677,409668.745,466.843
w6,,3381235.236,409672.567,470.190
t16,,3381260.236,409666.688,466.860
