
  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_5                cf:e2:28:94:d7:05 -59  30.5478747           104.0588892         
$APMSG ope_6                cf:e2:28:94:d7:06 -52  30.5478804           104.0587283         
$APMSG ope_3                cf:e2:28:94:d7:03 -51  30.5480188           104.0587308         
$APMSG ope_6                cf:e2:28:94:d7:06 -53  30.5478804           104.0587283         
$APMSG ope_3                cf:e2:28:94:d7:03 -48  30.5480188           104.0587308         
$APMSG ope_4                cf:e2:28:94:d7:04 -54  30.5480195           104.0588953         
$APMSG ope_1                cf:e2:28:94:d7:01 -65  30.5478722           104.0585676         
$APMSG ope_6                cf:e2:28:94:d7:06 -55  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -51  30.5480195           104.0588953         
$APMSG ope_5                cf:e2:28:94:d7:05 -59  30.5478747           104.0588892         
$APMSG ope_2                cf:e2:28:94:d7:02 -54  30.5480148           104.0585672         

  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_1                cf:e2:28:94:d7:01 -67  30.5478722           104.0585676         
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
$APMSG ope_2                cf:e2:28:94:d7:02 -54  30.5480148           104.0585672         
$APMSG ope_5                cf:e2:28:94:d7:05 -58  30.5478747           104.0588892         
$APMSG ope_6                cf:e2:28:94:d7:06 -58  30.5478804           104.0587283         
$APMSG ope_3                cf:e2:28:94:d7:03 -48  30.5480188           104.0587308         
$APMSG ope_1                cf:e2:28:94:d7:01 -67  30.5478722           104.0585676         
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
$APMSG ope_6                cf:e2:28:94:d7:06 -56  30.5478804           104.0587283         

  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_4                cf:e2:28:94:d7:04 -52  30.5480195           104.0588953         
$APMSG ope_6                cf:e2:28:94:d7:06 -58  30.5478804           104.0587283         
$APMSG ope_3                cf:e2:28:94:d7:03 -50  30.5480188           104.0587308         
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
$APMSG ope_2                cf:e2:28:94:d7:02 -51  30.5480148           104.0585672         
$APMSG ope_2                cf:e2:28:94:d7:02 -51  30.5480148           104.0585672         
$APMSG ope_5                cf:e2:28:94:d7:05 -66  30.5478747           104.0588892         
$APMSG ope_6                cf:e2:28:94:d7:06 -56  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -51  30.5480195           104.0588953         

  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_3                cf:e2:28:94:d7:03 -48  30.5480188           104.0587308         
$APMSG ope_6                cf:e2:28:94:d7:06 -56  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
$APMSG ope_2                cf:e2:28:94:d7:02 -51  30.5480148           104.0585672         
$APMSG ope_5                cf:e2:28:94:d7:05 -58  30.5478747           104.0588892         
$APMSG ope_3                cf:e2:28:94:d7:03 -48  30.5480188           104.0587308         
$APMSG ope_6                cf:e2:28:94:d7:06 -56  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -52  30.5480195           104.0588953         
$APMSG ope_2                cf:e2:28:94:d7:02 -54  30.5480148           104.0585672         
$APMSG ope_5                cf:e2:28:94:d7:05 -60  30.5478747           104.0588892         
$APMSG ope_3                cf:e2:28:94:d7:03 -50  30.5480188           104.0587308         

  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
$APMSG ope_5                cf:e2:28:94:d7:05 -61  30.5478747           104.0588892         
$APMSG ope_1                cf:e2:28:94:d7:01 -66  30.5478722           104.0585676         
$APMSG ope_2                cf:e2:28:94:d7:02 -52  30.5480148           104.0585672         
$APMSG ope_4                cf:e2:28:94:d7:04 -54  30.5480195           104.0588953         
$APMSG ope_2                cf:e2:28:94:d7:02 -52  30.5480148           104.0585672         
$APMSG ope_6                cf:e2:28:94:d7:06 -55  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -52  30.5480195           104.0588953         
$APMSG ope_1                cf:e2:28:94:d7:01 -68  30.5478722           104.0585676         

  HEAD         NAME                MAC        RSSI      LAT                  LON            
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_3                cf:e2:28:94:d7:03 -48  30.5480188           104.0587308         
$APMSG ope_2                cf:e2:28:94:d7:02 -54  30.5480148           104.0585672         
$APMSG ope_3                cf:e2:28:94:d7:03 -47  30.5480188           104.0587308         
$APMSG ope_6                cf:e2:28:94:d7:06 -55  30.5478804           104.0587283         
$APMSG ope_4                cf:e2:28:94:d7:04 -53  30.5480195           104.0588953         
