09:32:27:122128, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:27:272859, onepos_HLK_7, 40:d6:3c:00:06:1e, -83
09:32:27:392694, onepos_HLK_3, 40:d6:3c:00:06:1d, -66
09:32:27:567204, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:27:979819, onepos_HLK_2, 40:d6:3c:00:04:e1, -81
09:32:28:176080, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:28:225949, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:28:418430, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:28:446666, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:28:520846, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:28:804176, onepos_HLK_2, 40:d6:3c:00:04:e1, -73
09:32:28:881666, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:28:920568, onepos_HLK_3, 40:d6:3c:00:06:1d, -81
09:32:29:360438, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:29:375621, onepos_HLK_7, 40:d6:3c:00:06:1e, -82
09:32:29:377164, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:29:420332, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
09:32:29:752269, onepos_HLK_2, 40:d6:3c:00:04:e1, -78
09:32:30:024058, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:30:028788, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
09:32:30:084333, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:30:238498, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:30:422595, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:32:30:687111, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:31:198295, onepos_HLK_8, 40:d6:3c:00:05:49, -73
09:32:31:201315, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:32:31:305911, onepos_HLK_3, 40:d6:3c:00:06:1d, -79
09:32:31:397749, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:32:31:488483, onepos_HLK_7, 40:d6:3c:00:06:1e, -83
09:32:31:587414, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:32:022213, onepos_HLK_1, 40:d6:3c:00:04:a0, -77
09:32:32:067625, onepos_HLK_2, 40:d6:3c:00:04:e1, -82
09:32:32:268346, onepos_HLK_2, 40:d6:3c:00:04:e1, -78
09:32:32:354777, onepos_HLK_3, 40:d6:3c:00:06:1d, -66
09:32:32:523693, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:32:528128, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:32:32:812583, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:33:068615, onepos_HLK_2, 40:d6:3c:00:04:e1, -79
09:32:33:196488, onepos_HLK_3, 40:d6:3c:00:06:1d, -66
09:32:33:519020, onepos_HLK_8, 40:d6:3c:00:05:49, -84
